1e+06,3288.6,-12374
7.9436e+05,5016.8,-15030
6.31e+05,7893.6,-18188
5.0127e+05,11431,-20971
3.9814e+05,15416,-22933
3.1623e+05,20644,-24425
2.5119e+05,26781,-24518
1.9963e+05,32073,-23614
1.585e+05,36838,-21714
1.2592e+05,40798,-19109
1.0002e+05,43655,-16482
79512,45807,-13779
63105,47613,-10971
50215,48539,-9039.8
39902,49094,-7413.1
31699,49490,-5955.6
25137,49931,-5206.6
19980,49962,-3982.3
15879,50091,-3213.3
12598,50207,-2557.6
10020,50276,-2125.3
7928.2,50348,-1356.4
6307.9,50394,-1156.8
5034.7,50448,-979.06
3993.1,50487,-849.57
3144.1,50536,-734.65
2519.5,50575,-674.15
2000.8,50621,-626.58
1580.7,50675,-591.82
1253.6,50732,-551.68
1000.7,50788,-558.6
790.03,50849,-557.21
628.81,50909,-560.66
502.23,50972,-575.64
400.15,51046,-590.76
315.5,51111,-619.12
252.02,51191,-650.32
200.32,51273,-687.06
158.01,51361,-738.98
125.56,51451,-794.58
99.734,51550,-861.63
79.449,51652,-938.8
63.345,51776,-1025.6
49.867,51893,-1171
38.422,52046,-1279
31.25,52186,-1409.4
24.934,52346,-1575.2
20.032,52518,-1753
15.625,52745,-1992.1
12.467,52968,-2240.5
9.9734,53216,-2520.3
7.9719,53499,-2841.5
6.3516,53824,-3213.3
5.0134,54200,-3656.2
3.986,54622,-4147.9
3.1758,55094,-4710.5
2.5161,55634,-5301
1.9955,56260,-6058.9
1.5879,56972,-6906.6
1.2581,57787,-7885
0.99777,58765,-8994.6
0.79274,59842,-10234
0.62903,61079,-11654
0.49888,62533,-13230
0.3986,64138,-14961
0.31672,66060,-16920
0.25148,68300,-19085
0.19998,70883,-21424
0.15879,73885,-23948
0.12601,77425,-26627
0.10016,81545,-29470
