1e+06,1077.2,-9861.5
7.9436e+05,1679.5,-12380
6.31e+05,2608,-15367
5.0127e+05,4106.4,-18982
3.9814e+05,6369.2,-23298
3.1623e+05,9652.7,-28370
2.5119e+05,14942,-33458
1.9963e+05,21254,-38448
1.585e+05,29717,-42837
1.2592e+05,39871,-46041
1.0002e+05,49819,-46381
79512,60114,-44865
63105,69282,-41185
50215,76479,-36437
39902,82103,-31260
31699,86143,-26476
25137,88529,-21766
19980,90826,-17971
15879,92293,-14487
12598,93398,-11814
10020,93901,-9476.1
7928.2,94185,-6951.6
6307.9,94404,-5583
5034.7,94594,-4633.1
3993.1,94700,-3766.2
3144.1,94771,-3073.6
2519.5,94847,-2534.5
2000.8,94910,-2116.5
1580.7,94966,-1826.3
1253.6,95023,-1568.8
1000.7,95109,-1374.7
790.03,95183,-1225.3
628.81,95255,-1138.7
502.23,95319,-1055.7
400.15,95417,-994.33
315.5,95483,-982.87
252.02,95569,-975.3
200.32,95683,-973.42
158.01,95787,-997.96
125.56,95895,-1028.6
99.734,96008,-1077.8
79.449,96151,-1140.7
63.345,96238,-1192.3
49.867,96309,-1224
38.422,96551,-1419.2
31.25,96727,-1552
24.934,96882,-1692.8
20.032,97080,-1875
15.625,97333,-2084.1
12.467,97590,-2309.4
9.9734,97853,-2563
7.9719,98142,-2855.6
6.3516,98501,-3188.3
5.0134,98910,-3575.8
3.986,99334,-4004.7
3.1758,99794,-4494.5
2.5161,1.0031e+05,-4980.3
1.9955,1.009e+05,-5618.5
1.5879,1.0158e+05,-6350.6
1.2581,1.0237e+05,-7141.6
0.99777,1.0326e+05,-8083.4
0.79274,1.0422e+05,-9155.7
0.62903,1.0535e+05,-10361
0.49888,1.0664e+05,-11727
0.3986,1.0813e+05,-13312
0.31672,1.0997e+05,-15063
0.25148,1.1215e+05,-17020
0.19998,1.1465e+05,-19274
0.15879,1.1776e+05,-21843
0.12601,1.2143e+05,-24542
0.10016,1.2575e+05,-27301
